gender,body_type,season,occasion,accessories
Women,Hourglass,Autumn,Business,Earrings
Men,V-Shape,Winter,Casual,Watch
Women,Round,Winter,Party,Handbag
Women,Triangle,Summer,Party,Belt
Women,Rectangle,Autumn,Party,Belt
Men,V-Shape,Winter,Gym/Sport,Leather Shoes
Men,V-Shape,Winter,Party,Watch
Women,Hourglass,Spring,Gym/Sport,Clutch
Men,V-Shape,Spring,Ethnic,Cufflinks
Women,Rectangle,Spring,Gym/Sport,Clutch
Men,Apple,Autumn,Ethnic,Leather Shoes
Women,Round,Spring,Ethnic,Clutch
Women,Hourglass,Winter,Casual,Handbag
Men,Rectangle,Autumn,Casual,Cap
Women,Round,Summer,Gym/Sport,Earrings
Women,Triangle,Autumn,Business,Handbag
Men,Rectangle,Summer,Gym/Sport,Watch
Women,Inverted Triangle,Autumn,Casual,Clutch
Men,Triangle,Autumn,Ethnic,Sneakers
Men,V-Shape,Summer,Ethnic,Tie
Men,Triangle,Spring,Gym/Sport,Watch
Men,V-Shape,Summer,Ethnic,Watch
Women,Round,Spring,Ethnic,Belt
Women,Rectangle,Winter,Ethnic,Heels
Women,Inverted Triangle,Autumn,Party,Heels
Men,Rectangle,Summer,Gym/Sport,Cap
Men,Rectangle,Spring,Gym/Sport,Watch
Women,Triangle,Winter,Gym/Sport,Belt
Women,Hourglass,Summer,Casual,Earrings
Men,V-Shape,Autumn,Gym/Sport,Watch
Women,Triangle,Winter,Party,Scarf
Men,Triangle,Autumn,Casual,Cap
Women,Inverted Triangle,Winter,Casual,Scarf
Men,Triangle,Spring,Ethnic,Watch
Men,Triangle,Autumn,Casual,Leather Shoes
Women,Hourglass,Autumn,Business,Watch
Women,Triangle,Winter,Casual,Scarf
Women,Triangle,Spring,Party,Watch
Women,Rectangle,Summer,Business,Earrings
Women,Triangle,Spring,Gym/Sport,Handbag
Men,V-Shape,Winter,Ethnic,Tie
Men,Triangle,Spring,Party,Cufflinks
Women,Inverted Triangle,Winter,Ethnic,Scarf
Men,Apple,Autumn,Ethnic,Cap
Men,Apple,Spring,Casual,Sneakers
Men,Triangle,Autumn,Gym/Sport,Cap
Men,Rectangle,Summer,Business,Leather Shoes
Men,Apple,Spring,Party,Sneakers
Men,Rectangle,Winter,Ethnic,Cufflinks
Men,V-Shape,Summer,Party,Watch
Men,Rectangle,Winter,Gym/Sport,Cap
Women,Hourglass,Autumn,Business,Heels
Women,Hourglass,Spring,Business,Clutch
Men,Rectangle,Winter,Party,Sneakers
Men,V-Shape,Winter,Casual,Sneakers
Men,Rectangle,Autumn,Ethnic,Cap
Men,Rectangle,Autumn,Business,Leather Shoes
Women,Rectangle,Spring,Casual,Handbag
Women,Round,Summer,Gym/Sport,Earrings
Women,Hourglass,Summer,Ethnic,Heels
Men,V-Shape,Summer,Gym/Sport,Watch
Women,Triangle,Autumn,Ethnic,Earrings
Women,Triangle,Spring,Party,Clutch
Men,V-Shape,Summer,Gym/Sport,Cufflinks
Women,Inverted Triangle,Autumn,Ethnic,Earrings
Men,Rectangle,Winter,Gym/Sport,Leather Shoes
Men,Rectangle,Spring,Business,Watch
Men,Rectangle,Autumn,Casual,Leather Shoes
Women,Round,Winter,Casual,Scarf
Men,Triangle,Summer,Casual,Cufflinks
Men,Rectangle,Spring,Business,Tie
Men,Apple,Spring,Casual,Sneakers
Women,Round,Spring,Party,Belt
Men,Triangle,Spring,Casual,Leather Shoes
Men,V-Shape,Winter,Ethnic,Cufflinks
Women,Triangle,Winter,Gym/Sport,Heels
Men,Rectangle,Autumn,Business,Watch
Men,V-Shape,Autumn,Business,Tie
Women,Triangle,Winter,Casual,Heels
Men,V-Shape,Autumn,Business,Cufflinks
Men,Triangle,Summer,Business,Watch
Men,Triangle,Summer,Party,Leather Shoes
Women,Inverted Triangle,Autumn,Party,Heels
Women,Hourglass,Autumn,Gym/Sport,Earrings
Men,Rectangle,Summer,Business,Leather Shoes
Men,Triangle,Autumn,Business,Cufflinks
Women,Hourglass,Winter,Gym/Sport,Belt
Men,Rectangle,Summer,Gym/Sport,Watch
Men,V-Shape,Winter,Business,Cap
Men,Apple,Summer,Party,Cap
Men,V-Shape,Summer,Business,Sneakers
Women,Round,Autumn,Casual,Watch
Men,Apple,Summer,Ethnic,Cufflinks
Men,Apple,Summer,Ethnic,Sneakers
Women,Triangle,Spring,Casual,Watch
Women,Rectangle,Summer,Casual,Scarf
Women,Rectangle,Summer,Party,Heels
Men,V-Shape,Autumn,Ethnic,Tie
Men,V-Shape,Spring,Party,Sneakers
Women,Triangle,Winter,Casual,Clutch
Men,Triangle,Autumn,Ethnic,Watch
Women,Triangle,Autumn,Business,Clutch
Men,Triangle,Autumn,Casual,Watch
Men,V-Shape,Spring,Ethnic,Tie
Women,Hourglass,Summer,Casual,Watch
Women,Hourglass,Summer,Gym/Sport,Watch
Women,Round,Summer,Casual,Handbag
Women,Hourglass,Summer,Ethnic,Belt
Men,V-Shape,Autumn,Ethnic,Leather Shoes
Women,Rectangle,Winter,Ethnic,Belt
Men,V-Shape,Summer,Gym/Sport,Watch
Men,Rectangle,Winter,Gym/Sport,Watch
Women,Inverted Triangle,Winter,Ethnic,Scarf
Men,Apple,Summer,Gym/Sport,Sneakers
Women,Round,Autumn,Ethnic,Watch
Men,Rectangle,Spring,Business,Watch
Women,Round,Autumn,Business,Belt
Men,Triangle,Spring,Business,Tie
Women,Hourglass,Spring,Party,Handbag
Women,Triangle,Spring,Party,Earrings
Men,Rectangle,Autumn,Ethnic,Cap
Women,Triangle,Winter,Party,Belt
Men,V-Shape,Spring,Casual,Tie
Men,V-Shape,Summer,Casual,Tie
Women,Rectangle,Spring,Party,Scarf
Men,Triangle,Spring,Business,Leather Shoes
Women,Triangle,Summer,Gym/Sport,Scarf
Women,Rectangle,Autumn,Ethnic,Scarf
Men,V-Shape,Autumn,Ethnic,Tie
Men,Apple,Spring,Ethnic,Cap
Women,Round,Autumn,Gym/Sport,Scarf
Men,Triangle,Summer,Ethnic,Watch
Men,V-Shape,Summer,Party,Cap
Women,Rectangle,Autumn,Gym/Sport,Watch
Women,Hourglass,Summer,Casual,Scarf
Men,V-Shape,Autumn,Gym/Sport,Watch
Men,V-Shape,Winter,Business,Leather Shoes
Men,Apple,Autumn,Gym/Sport,Watch
Men,Triangle,Spring,Business,Watch
Women,Inverted Triangle,Summer,Gym/Sport,Scarf
Women,Inverted Triangle,Spring,Gym/Sport,Heels
Women,Rectangle,Winter,Business,Scarf
