gender,body_type,season,occasion,fabrics
Women,Hourglass,Autumn,Business,Satin
Men,V-Shape,Winter,Casual,Denim
Women,Round,Winter,Party,Cotton
Women,Triangle,Summer,Party,Cotton
Women,Rectangle,Autumn,Party,Velvet
Men,V-Shape,Winter,Gym/Sport,Cotton
Men,V-Shape,Winter,Party,Linen
Women,Hourglass,Spring,Gym/Sport,Satin
Men,V-Shape,Spring,Ethnic,Twill
Women,Rectangle,Spring,Gym/Sport,Satin
Men,Apple,Autumn,Ethnic,Wool
Women,Round,Spring,Ethnic,Satin
Women,Hourglass,Winter,Casual,Silk
Men,Rectangle,Autumn,Casual,Denim
Women,Round,Summer,Gym/Sport,Cotton
Women,Triangle,Autumn,Business,Rayon
Men,Rectangle,Summer,Gym/Sport,Wool
Women,Inverted Triangle,Autumn,Casual,Denim
Men,Triangle,Autumn,Ethnic,Cotton
Men,V-Shape,Summer,Ethnic,Denim
Men,Triangle,Spring,Gym/Sport,Linen
Men,V-Shape,Summer,Ethnic,Polyester
Women,Round,Spring,Ethnic,Linen
Women,Rectangle,Winter,Ethnic,Velvet
Women,Inverted Triangle,Autumn,Party,Denim
Men,Rectangle,Summer,Gym/Sport,Linen
Men,Rectangle,Spring,Gym/Sport,Cotton
Women,Triangle,Winter,Gym/Sport,Linen
Women,Hourglass,Summer,Casual,Silk
Men,V-Shape,Autumn,Gym/Sport,Wool
Women,Triangle,Winter,Party,Cotton
Men,Triangle,Autumn,Casual,Polyester
Women,Inverted Triangle,Winter,Casual,Velvet
Men,Triangle,Spring,Ethnic,Cotton
Men,Triangle,Autumn,Casual,Denim
Women,Hourglass,Autumn,Business,Chiffon
Women,Triangle,Winter,Casual,Linen
Women,Triangle,Spring,Party,Linen
Women,Rectangle,Summer,Business,Silk
Women,Triangle,Spring,Gym/Sport,Silk
Men,V-Shape,Winter,Ethnic,Polyester
Men,Triangle,Spring,Party,Cotton
Women,Inverted Triangle,Winter,Ethnic,Satin
Men,Apple,Autumn,Ethnic,Polyester
Men,Apple,Spring,Casual,Denim
Men,Triangle,Autumn,Gym/Sport,Linen
Men,Rectangle,Summer,Business,Polyester
Men,Apple,Spring,Party,Wool
Men,Rectangle,Winter,Ethnic,Wool
Men,V-Shape,Summer,Party,Twill
Men,Rectangle,Winter,Gym/Sport,Cotton
Women,Hourglass,Autumn,Business,Velvet
Women,Hourglass,Spring,Business,Linen
Men,Rectangle,Winter,Party,Denim
Men,V-Shape,Winter,Casual,Cotton
Men,Rectangle,Autumn,Ethnic,Wool
Men,Rectangle,Autumn,Business,Wool
Women,Rectangle,Spring,Casual,Satin
Women,Round,Summer,Gym/Sport,Velvet
Women,Hourglass,Summer,Ethnic,Satin
Men,V-Shape,Summer,Gym/Sport,Polyester
Women,Triangle,Autumn,Ethnic,Silk
Women,Triangle,Spring,Party,Silk
Men,V-Shape,Summer,Gym/Sport,Linen
Women,Inverted Triangle,Autumn,Ethnic,Silk
Men,Rectangle,Winter,Gym/Sport,Denim
Men,Rectangle,Spring,Business,Wool
Men,Rectangle,Autumn,Casual,Cotton
Women,Round,Winter,Casual,Satin
Men,Triangle,Summer,Casual,Twill
Men,Rectangle,Spring,Business,Polyester
Men,Apple,Spring,Casual,Twill
Women,Round,Spring,Party,Linen
Men,Triangle,Spring,Casual,Polyester
Men,V-Shape,Winter,Ethnic,Cotton
Women,Triangle,Winter,Gym/Sport,Linen
Men,Rectangle,Autumn,Business,Twill
Men,V-Shape,Autumn,Business,Polyester
Women,Triangle,Winter,Casual,Satin
Men,V-Shape,Autumn,Business,Polyester
Men,Triangle,Summer,Business,Polyester
Men,Triangle,Summer,Party,Twill
Women,Inverted Triangle,Autumn,Party,Silk
Women,Hourglass,Autumn,Gym/Sport,Chiffon
Men,Rectangle,Summer,Business,Twill
Men,Triangle,Autumn,Business,Denim
Women,Hourglass,Winter,Gym/Sport,Velvet
Men,Rectangle,Summer,Gym/Sport,Twill
Men,V-Shape,Winter,Business,Polyester
Men,Apple,Summer,Party,Wool
Men,V-Shape,Summer,Business,Denim
Women,Round,Autumn,Casual,Chiffon
Men,Apple,Summer,Ethnic,Denim
Men,Apple,Summer,Ethnic,Denim
Women,Triangle,Spring,Casual,Velvet
Women,Rectangle,Summer,Casual,Cotton
Women,Rectangle,Summer,Party,Velvet
Men,V-Shape,Autumn,Ethnic,Linen
Men,V-Shape,Spring,Party,Denim
Women,Triangle,Winter,Casual,Rayon
Men,Triangle,Autumn,Ethnic,Denim
Women,Triangle,Autumn,Business,Silk
Men,Triangle,Autumn,Casual,Wool
Men,V-Shape,Spring,Ethnic,Twill
Women,Hourglass,Summer,Casual,Linen
Women,Hourglass,Summer,Gym/Sport,Linen
Women,Round,Summer,Casual,Silk
Women,Hourglass,Summer,Ethnic,Velvet
Men,V-Shape,Autumn,Ethnic,Denim
Women,Rectangle,Winter,Ethnic,Linen
Men,V-Shape,Summer,Gym/Sport,Denim
Men,Rectangle,Winter,Gym/Sport,Wool
Women,Inverted Triangle,Winter,Ethnic,Linen
Men,Apple,Summer,Gym/Sport,Twill
Women,Round,Autumn,Ethnic,Denim
Men,Rectangle,Spring,Business,Denim
Women,Round,Autumn,Business,Silk
Men,Triangle,Spring,Business,Wool
Women,Hourglass,Spring,Party,Rayon
Women,Triangle,Spring,Party,Satin
Men,Rectangle,Autumn,Ethnic,Polyester
Women,Triangle,Winter,Party,Silk
Men,V-Shape,Spring,Casual,Wool
Men,V-Shape,Summer,Casual,Linen
Women,Rectangle,Spring,Party,Denim
Men,Triangle,Spring,Business,Polyester
Women,Triangle,Summer,Gym/Sport,Chiffon
Women,Rectangle,Autumn,Ethnic,Denim
Men,V-Shape,Autumn,Ethnic,Wool
Men,Apple,Spring,Ethnic,Polyester
Women,Round,Autumn,Gym/Sport,Denim
Men,Triangle,Summer,Ethnic,Wool
Men,V-Shape,Summer,Party,Polyester
Women,Rectangle,Autumn,Gym/Sport,Velvet
Women,Hourglass,Summer,Casual,Linen
Men,V-Shape,Autumn,Gym/Sport,Wool
Men,V-Shape,Winter,Business,Cotton
Men,Apple,Autumn,Gym/Sport,Wool
Men,Triangle,Spring,Business,Cotton
Women,Inverted Triangle,Summer,Gym/Sport,Satin
Women,Inverted Triangle,Spring,Gym/Sport,Linen
Women,Rectangle,Winter,Business,Denim
Women,Rectangle,Summer,Gym/Sport,Cotton
Men,Rectangle,Spring,Business,Cotton
Women,Rectangle,Spring,Business,Cotton
Women,Rectangle,Winter,Ethnic,Cotton
Men,Triangle,Autumn,Business,Twill
Women,Triangle,Spring,Casual,Denim
Women,Triangle,Spring,Ethnic,Denim
Men,V-Shape,Summer,Ethnic,Cotton
Men,Triangle,Spring,Casual,Wool
Women,Triangle,Winter,Business,Linen
Women,Rectangle,Autumn,Party,Velvet
Men,Apple,Spring,Gym/Sport,Cotton
Men,V-Shape,Summer,Business,Cotton
Men,V-Shape,Autumn,Party,Cotton
Men,Rectangle,Summer,Casual,Cotton
Men,Apple,Winter,Ethnic,Linen
Women,Triangle,Spring,Business,Linen
Men,Apple,Autumn,Casual,Denim
Women,Hourglass,Spring,Business,Rayon
Men,Rectangle,Autumn,Party,Denim
Women,Rectangle,Winter,Ethnic,Velvet
Men,Rectangle,Summer,Party,Cotton
Women,Rectangle,Winter,Ethnic,Cotton
Men,V-Shape,Autumn,Ethnic,Polyester
Women,Hourglass,Spring,Gym/Sport,Silk
Women,Hourglass,Autumn,Party,Cotton
Women,Inverted Triangle,Spring,Ethnic,Cotton
Men,Triangle,Summer,Party,Twill
Women,Hourglass,Winter,Business,Rayon
Women,Rectangle,Summer,Party,Rayon
Men,Rectangle,Autumn,Gym/Sport,Polyester
Women,Hourglass,Winter,Ethnic,Satin
Men,Rectangle,Autumn,Ethnic,Denim
Women,Round,Winter,Business,Cotton
Men,Apple,Summer,Gym/Sport,Polyester
Women,Round,Spring,Ethnic,Satin
Men,Rectangle,Winter,Ethnic,Twill
Women,Rectangle,Winter,Business,Cotton
Men,V-Shape,Spring,Business,Cotton
Men,V-Shape,Autumn,Business,Polyester
Women,Hourglass,Spring,Gym/Sport,Linen
Men,V-Shape,Winter,Gym/Sport,Twill
Women,Hourglass,Spring,Ethnic,Denim
Women,Round,Winter,Business,Satin
Men,Rectangle,Winter,Casual,Wool
Men,Triangle,Spring,Gym/Sport,Polyester
Men,Apple,Summer,Business,Denim
Men,V-Shape,Winter,Casual,Twill
Men,Rectangle,Spring,Ethnic,Twill
Women,Triangle,Summer,Party,Linen
Women,Inverted Triangle,Winter,Ethnic,Rayon
Men,Triangle,Winter,Ethnic,Cotton
Women,Round,Winter,Party,Velvet
Men,Triangle,Winter,Party,Denim
Women,Triangle,Summer,Casual,Denim
Women,Inverted Triangle,Summer,Ethnic,Linen
Men,Apple,Winter,Gym/Sport,Linen
Women,Rectangle,Winter,Gym/Sport,Satin
Men,Apple,Winter,Ethnic,Twill
Men,V-Shape,Spring,Ethnic,Denim
Women,Hourglass,Summer,Casual,Cotton
Women,Triangle,Spring,Business,Chiffon
Women,Round,Winter,Gym/Sport,Silk
Men,Rectangle,Spring,Party,Denim
Women,Inverted Triangle,Spring,Casual,Cotton
Men,Rectangle,Autumn,Casual,Denim
Women,Inverted Triangle,Autumn,Party,Satin
Women,Rectangle,Winter,Business,Velvet
Women,Round,Summer,Gym/Sport,Silk
Women,Rectangle,Winter,Casual,Velvet
Men,V-Shape,Spring,Casual,Denim
Women,Rectangle,Summer,Casual,Cotton
Men,Rectangle,Autumn,Ethnic,Cotton
Women,Hourglass,Winter,Ethnic,Cotton
Men,Apple,Summer,Gym/Sport,Wool
Men,Triangle,Summer,Business,Twill
Men,Apple,Summer,Gym/Sport,Linen
Men,V-Shape,Winter,Party,Polyester
Women,Triangle,Winter,Gym/Sport,Rayon
Men,V-Shape,Winter,Business,Denim
Women,Rectangle,Autumn,Ethnic,Cotton
Women,Round,Summer,Gym/Sport,Cotton
Women,Rectangle,Summer,Ethnic,Cotton
Men,Apple,Spring,Business,Denim
Men,Apple,Autumn,Gym/Sport,Denim
Men,Apple,Spring,Party,Polyester
