gender,body_type,season,occasion,lower_wear,color
Men,Triangle,Winter,Party,Chinos,White
Women,Hourglass,Summer,Ethnic,Skirt,Beige
Women,Hourglass,Summer,Ethnic,Salwar,Brown
Women,Round,Winter,Party,Trousers,Olive
Women,Hourglass,Winter,Casual,Sharara,Grey
Women,Inverted Triangle,Autumn,Business,Leggings,Navy Blue
Men,Triangle,Spring,Gym/Sport,Trousers,Pink
Men,Triangle,Autumn,Party,Shorts,Pink
Women,Rectangle,Spring,Casual,Jeans,Olive
Women,Round,Winter,Business,Palazzo,Olive
Men,Triangle,Summer,Gym/Sport,Formal Pants,Brown
Men,V-Shape,Autumn,Casual,Trousers,Pink
Women,Rectangle,Winter,Ethnic,Leggings,White
Men,Rectangle,Winter,Ethnic,Trousers,Black
Men,Rectangle,Autumn,Gym/Sport,Jeans,White
Women,Hourglass,Spring,Party,Palazzo,Brown
Women,Rectangle,Winter,Ethnic,Salwar,Beige
Women,Rectangle,Summer,Casual,Jeans,Navy Blue
Men,V-Shape,Winter,Business,Shorts,Black
Men,V-Shape,Summer,Business,Track Pants,Brown
Men,Triangle,Winter,Casual,Trousers,White
Women,Round,Spring,Ethnic,Jeans,White
Men,V-Shape,Autumn,Business,Shorts,Navy Blue
Women,Triangle,Winter,Gym/Sport,Sharara,Pink
Women,Inverted Triangle,Winter,Casual,Sharara,White
Men,Triangle,Spring,Party,Shorts,White
Men,Triangle,Spring,Ethnic,Kurta Pajama,Olive
Men,Apple,Summer,Ethnic,Formal Pants,Brown
Men,Triangle,Summer,Ethnic,Shorts,Blue
Men,Apple,Spring,Gym/Sport,Shorts,Beige
Women,Rectangle,Winter,Ethnic,Sharara,Pink
Women,Triangle,Winter,Party,Palazzo,Olive
Men,V-Shape,Winter,Casual,Chinos,Black
Men,Rectangle,Summer,Business,Track Pants,Brown
Men,Apple,Spring,Party,Jeans,Black
Women,Hourglass,Autumn,Ethnic,Salwar,Beige
Men,Triangle,Autumn,Business,Trousers,Blue
Women,Round,Summer,Party,Trousers,Purple
Men,V-Shape,Summer,Ethnic,Shorts,Red
Men,V-Shape,Winter,Party,Shorts,Red
Men,V-Shape,Spring,Casual,Track Pants,Brown
Men,V-Shape,Winter,Gym/Sport,Track Pants,Black
Men,V-Shape,Autumn,Casual,Shorts,Pink
Women,Hourglass,Autumn,Gym/Sport,Sharara,Red
Men,V-Shape,Summer,Business,Trousers,Brown
Men,Rectangle,Winter,Casual,Kurta Pajama,Purple
Men,V-Shape,Spring,Ethnic,Track Pants,Navy Blue
Women,Round,Winter,Gym/Sport,Sharara,Blue
Women,Triangle,Winter,Gym/Sport,Jeans,Olive
Men,Triangle,Autumn,Party,Formal Pants,Red
Women,Hourglass,Spring,Ethnic,Leggings,Olive
Men,Triangle,Autumn,Gym/Sport,Chinos,Grey
Women,Rectangle,Summer,Party,Leggings,Grey
Men,Triangle,Summer,Casual,Chinos,Red
Men,Triangle,Spring,Gym/Sport,Trousers,Pink
Men,Apple,Spring,Party,Trousers,Navy Blue
Women,Triangle,Summer,Party,Skirt,Blue
Women,Rectangle,Summer,Ethnic,Palazzo,Brown
Men,Rectangle,Summer,Business,Formal Pants,Navy Blue
Women,Round,Spring,Casual,Palazzo,Purple
Women,Inverted Triangle,Autumn,Gym/Sport,Jeans,Blue
Women,Hourglass,Spring,Ethnic,Jeans,Grey
Men,Triangle,Autumn,Ethnic,Chinos,Red
Men,Apple,Spring,Casual,Kurta Pajama,Blue
Women,Inverted Triangle,Winter,Ethnic,Skirt,Black
Men,Rectangle,Summer,Business,Formal Pants,Navy Blue
Women,Rectangle,Summer,Casual,Trousers,Red
Women,Rectangle,Autumn,Gym/Sport,Palazzo,Olive
Men,Rectangle,Summer,Business,Shorts,Purple
Women,Triangle,Spring,Business,Sharara,Black
Men,Apple,Autumn,Ethnic,Jeans,Blue
Women,Inverted Triangle,Winter,Ethnic,Palazzo,Brown
Men,Rectangle,Summer,Gym/Sport,Shorts,Beige
Men,Rectangle,Spring,Ethnic,Jeans,Purple
Men,V-Shape,Autumn,Ethnic,Track Pants,Pink
Women,Round,Autumn,Business,Sharara,Blue
Men,Apple,Winter,Business,Kurta Pajama,Brown
Men,V-Shape,Summer,Gym/Sport,Shorts,Brown
Men,Apple,Summer,Business,Kurta Pajama,Olive
Women,Inverted Triangle,Winter,Ethnic,Palazzo,Red
Men,Triangle,Spring,Party,Trousers,Brown
Women,Triangle,Summer,Casual,Skirt,Pink
Men,Triangle,Spring,Ethnic,Trousers,Olive
Men,Apple,Autumn,Party,Shorts,Black
Men,Triangle,Autumn,Party,Jeans,Black
Men,Rectangle,Summer,Party,Shorts,Pink
Men,Triangle,Winter,Ethnic,Chinos,Blue
Men,V-Shape,Autumn,Gym/Sport,Shorts,Grey
Women,Triangle,Summer,Business,Sharara,Grey
Men,V-Shape,Autumn,Gym/Sport,Kurta Pajama,Brown
Men,Apple,Winter,Ethnic,Shorts,Pink
Women,Inverted Triangle,Spring,Casual,Sharara,Navy Blue
Women,Inverted Triangle,Spring,Casual,Leggings,Navy Blue
Women,Inverted Triangle,Winter,Business,Palazzo,Olive
Women,Rectangle,Winter,Gym/Sport,Salwar,Navy Blue
Women,Round,Autumn,Gym/Sport,Salwar,Grey
Men,V-Shape,Autumn,Ethnic,Shorts,Beige
Women,Hourglass,Winter,Business,Palazzo,Pink
Men,Rectangle,Autumn,Party,Formal Pants,Black
Women,Round,Spring,Ethnic,Jeans,Beige
Women,Triangle,Autumn,Casual,Palazzo,White
