gender,body_type,season,occasion,upper_cloth,color
Women,Round,Spring,Business,T-Shirt,Navy Blue
Women,Rectangle,Autumn,Ethnic,Sweater,White
Women,Hourglass,Autumn,Party,Blouse,Navy Blue
Men,V-Shape,Autumn,Ethnic,Shirt,Black
Women,Triangle,Winter,Casual,Shrug,Blue
Men,Rectangle,Winter,Gym/Sport,Jacket,Black
Women,Triangle,Spring,Casual,Kurti,Green
Men,Triangle,Winter,Party,Polo T-Shirt,Navy Blue
Women,Round,Spring,Business,Shrug,Yellow
Men,Rectangle,Winter,Gym/Sport,T-Shirt,Black
Men,Rectangle,Autumn,Ethnic,Blazer,Beige
Women,Round,Autumn,Casual,Kurti,Pink
Women,Round,Summer,Business,Blouse,Yellow
Men,Rectangle,Spring,Gym/Sport,Sweatshirt,Purple
Women,Rectangle,Summer,Gym/Sport,Shrug,Navy Blue
Men,Rectangle,Spring,Ethnic,Polo T-Shirt,Olive
Women,Hourglass,Summer,Ethnic,Sweater,Purple
Men,Rectangle,Summer,Casual,Polo T-Shirt,Beige
Men,Triangle,Autumn,Gym/Sport,Kurta,Black
Women,Round,Summer,Business,Sweater,White
Women,Round,Spring,Casual,Blouse,Blue
Men,V-Shape,Winter,Ethnic,Sweatshirt,Yellow
Men,Triangle,Summer,Gym/Sport,T-Shirt,Red
Men,Triangle,Winter,Ethnic,Shirt,Olive
Men,Rectangle,Summer,Ethnic,Blazer,Purple
Women,Inverted Triangle,Summer,Casual,Crop Top,Black
Men,Triangle,Winter,Gym/Sport,Sweatshirt,Purple
Women,Round,Spring,Casual,Kurti,Purple
Women,Hourglass,Summer,Casual,Top,Pink
Men,Triangle,Spring,Ethnic,Kurta,Purple
Men,Rectangle,Spring,Ethnic,Kurta,Olive
Women,Rectangle,Autumn,Casual,Crop Top,Olive
Women,Rectangle,Winter,Party,Top,Red
Men,Apple,Summer,Gym/Sport,Shirt,Beige
Women,Triangle,Autumn,Business,Blouse,Green
Men,Rectangle,Summer,Casual,Polo T-Shirt,Yellow
Men,Triangle,Spring,Casual,Polo T-Shirt,Beige
Women,Triangle,Summer,Casual,Top,Navy Blue
Men,Triangle,Winter,Gym/Sport,Sweatshirt,Blue
Women,Hourglass,Spring,Casual,Jacket,Olive
Women,Inverted Triangle,Summer,Party,Kurti,Red
Women,Round,Autumn,Business,Crop Top,Red
Women,Triangle,Winter,Business,T-Shirt,Pink
Men,Apple,Autumn,Party,Kurta,Red
Women,Triangle,Summer,Party,Top,Grey
Men,Triangle,Summer,Party,Sweatshirt,White
Women,Triangle,Winter,Casual,Crop Top,Green
Women,Hourglass,Summer,Party,Kurti,Red
Men,Rectangle,Autumn,Gym/Sport,Blazer,Pink
Men,Apple,Spring,Ethnic,Hoodie,Purple
Women,Round,Summer,Business,Top,Red
Men,Rectangle,Summer,Party,Shirt,Black
Men,Rectangle,Winter,Gym/Sport,Blazer,Pink
Men,Apple,Autumn,Ethnic,T-Shirt,Purple
Women,Triangle,Summer,Gym/Sport,T-Shirt,Pink
Men,V-Shape,Winter,Ethnic,Jacket,Grey
Men,Apple,Autumn,Casual,Blazer,White
Men,Rectangle,Autumn,Party,T-Shirt,White
Women,Rectangle,Summer,Gym/Sport,Crop Top,Grey
Men,Rectangle,Winter,Gym/Sport,Blazer,Black
Men,Rectangle,Winter,Gym/Sport,Jacket,Blue
Men,Triangle,Autumn,Casual,Sweatshirt,White
Women,Rectangle,Spring,Party,Blouse,Yellow
Women,Triangle,Summer,Party,Kurti,Grey
Women,Triangle,Winter,Party,Kurti,White
Women,Hourglass,Spring,Party,Crop Top,Purple
Men,Rectangle,Autumn,Gym/Sport,Shirt,Pink
